Iteration 1, loss = 3.253088
Iteration 122, loss = 0.700060
Iteration 123, loss = 0.696860
Iteration 124, loss = 0.694307
Iteration 125, loss = 0.691723
Iteration 126, loss = 0.688711
Iteration 127, loss = 0.686480
Iteration 128, loss = 0.683341
Iteration 129, loss = 0.680496
Iteration 130, loss = 0.678736
Iteration 131, loss = 0.676210
Iteration 132, loss = 0.673229
Iteration 133, loss = 0.671309
Iteration 134, loss = 0.668575
Iteration 135, loss = 0.666050
Iteration 136, loss = 0.663619
Iteration 137, loss = 0.660177
Iteration 138, loss = 0.658889
Iteration 139, loss = 0.655270
Iteration 140, loss = 0.653893
Iteration 141, loss = 0.650570
Iteration 142, loss = 0.648759
Iteration 143, loss = 0.645209
Iteration 144, loss = 0.643793
Iteration 145, loss = 0.640921
Iteration 146, loss = 0.639947
Iteration 147, loss = 0.636719
Iteration 148, loss = 0.633775
Iteration 149, loss = 0.632223
Iteration 150, loss = 0.629166
Iteration 151, loss = 0.626565
Iteration 152, loss = 0.624710
Iteration 153, loss = 0.622524
Iteration 154, loss = 0.619965
Iteration 155, loss = 0.617958
Iteration 156, loss = 0.615784
Iteration 157, loss = 0.613506
Iteration 158, loss = 0.611229
Iteration 159, loss = 0.609203
Iteration 160, loss = 0.606656
Iteration 161, loss = 0.604553
Iteration 162, loss = 0.603009
Iteration 163, loss = 0.599285
Iteration 164, loss = 0.598924
Iteration 165, loss = 0.595656
Iteration 166, loss = 0.594357
Iteration 167, loss = 0.592104
Iteration 168, loss = 0.590275
Iteration 169, loss = 0.587869
Iteration 170, loss = 0.585504
Iteration 171, loss = 0.583182
Iteration 172, loss = 0.581801
Iteration 173, loss = 0.579804
Iteration 174, loss = 0.577125
Iteration 175, loss = 0.575369
Iteration 176, loss = 0.573996
Iteration 177, loss = 0.571473
Iteration 178, loss = 0.569204
Iteration 179, loss = 0.568037
Iteration 180, loss = 0.565847
Iteration 181, loss = 0.563823
Iteration 182, loss = 0.561114
Iteration 183, loss = 0.559493
Iteration 184, loss = 0.558725
Iteration 185, loss = 0.555691
Iteration 186, loss = 0.553987
Iteration 187, loss = 0.552021
Iteration 188, loss = 0.550723
Iteration 189, loss = 0.548718
Iteration 190, loss = 0.547176
Iteration 191, loss = 0.545040
Iteration 192, loss = 0.542847
Iteration 193, loss = 0.541447
Iteration 194, loss = 0.539033
Iteration 195, loss = 0.537729
Iteration 196, loss = 0.535463
Iteration 197, loss = 0.534053
Iteration 198, loss = 0.532521
Iteration 199, loss = 0.530775
Iteration 200, loss = 0.528844
Iteration 201, loss = 0.526797
Iteration 202, loss = 0.525315
Iteration 203, loss = 0.523271
Iteration 204, loss = 0.521493
Iteration 205, loss = 0.521175
Iteration 206, loss = 0.519048
Iteration 207, loss = 0.517251
Iteration 208, loss = 0.515705
Iteration 209, loss = 0.513217
Iteration 210, loss = 0.512937
Iteration 211, loss = 0.510973
Iteration 212, loss = 0.508741
Iteration 213, loss = 0.508093
Iteration 214, loss = 0.505871
Iteration 215, loss = 0.504194
Iteration 216, loss = 0.502924
Iteration 217, loss = 0.501358
Iteration 218, loss = 0.500241
Iteration 219, loss = 0.498099
Iteration 220, loss = 0.497322
Iteration 221, loss = 0.495231
Iteration 222, loss = 0.493404
Iteration 223, loss = 0.492249
Iteration 224, loss = 0.490972
Iteration 225, loss = 0.489568
Iteration 226, loss = 0.488956
Iteration 227, loss = 0.487333
Iteration 228, loss = 0.484864
Iteration 229, loss = 0.483701
Iteration 230, loss = 0.481915
Iteration 231, loss = 0.481291
Iteration 232, loss = 0.479850
Iteration 233, loss = 0.478173
Iteration 234, loss = 0.476952
Iteration 235, loss = 0.475193
Iteration 236, loss = 0.473989
Iteration 237, loss = 0.472874
Iteration 238, loss = 0.471393
Iteration 239, loss = 0.470080
Iteration 240, loss = 0.468776
Iteration 241, loss = 0.467484
Iteration 242, loss = 0.466776
Iteration 243, loss = 0.465013
Iteration 244, loss = 0.464037
Iteration 245, loss = 0.462912
Iteration 246, loss = 0.460977
Iteration 247, loss = 0.460767
Iteration 248, loss = 0.458828
Iteration 249, loss = 0.457564
Iteration 250, loss = 0.456523
Iteration 251, loss = 0.455221
Iteration 252, loss = 0.454172
Iteration 253, loss = 0.452308
Iteration 254, loss = 0.451913
Iteration 255, loss = 0.450566
Iteration 256, loss = 0.448503
Iteration 257, loss = 0.448181
Iteration 258, loss = 0.447459
Iteration 259, loss = 0.445466
Iteration 260, loss = 0.444027
Iteration 261, loss = 0.443558
Iteration 262, loss = 0.442174
Iteration 263, loss = 0.441408
Iteration 264, loss = 0.440093
Iteration 265, loss = 0.439424
Iteration 266, loss = 0.437483
Iteration 267, loss = 0.436687
Iteration 268, loss = 0.435846
Iteration 269, loss = 0.434371
Iteration 270, loss = 0.433492
Iteration 271, loss = 0.432733
Iteration 272, loss = 0.431579
Iteration 273, loss = 0.430187
Iteration 274, loss = 0.428543
Iteration 275, loss = 0.428041
Iteration 276, loss = 0.427340
Iteration 277, loss = 0.426527
Iteration 278, loss = 0.424755
Iteration 279, loss = 0.423542
Iteration 280, loss = 0.423209
Iteration 281, loss = 0.421939
Iteration 282, loss = 0.420326
Iteration 283, loss = 0.420337
Iteration 284, loss = 0.418496
Iteration 285, loss = 0.418062
Iteration 286, loss = 0.416946
Iteration 287, loss = 0.415611
Iteration 288, loss = 0.414616
Iteration 289, loss = 0.413925
Iteration 290, loss = 0.412229
Iteration 291, loss = 0.412113
Iteration 292, loss = 0.411197
Iteration 293, loss = 0.410145
Iteration 294, loss = 0.409873
Iteration 295, loss = 0.408286
Iteration 296, loss = 0.406283
Iteration 297, loss = 0.406613
Iteration 298, loss = 0.405561
Iteration 299, loss = 0.404432
Iteration 300, loss = 0.403169
Iteration 301, loss = 0.402861
Iteration 302, loss = 0.401666
Iteration 303, loss = 0.400610
Iteration 304, loss = 0.399875
Iteration 305, loss = 0.399125
Iteration 306, loss = 0.398771
Iteration 307, loss = 0.397165
Iteration 308, loss = 0.396053
Iteration 309, loss = 0.395103
Iteration 310, loss = 0.394127
Iteration 311, loss = 0.393762
Iteration 312, loss = 0.393047
Iteration 313, loss = 0.391737
Iteration 314, loss = 0.390946
Iteration 315, loss = 0.389271
Iteration 316, loss = 0.389609
Iteration 317, loss = 0.387825
Iteration 318, loss = 0.387369
Iteration 319, loss = 0.386796
Iteration 320, loss = 0.385958
Iteration 321, loss = 0.385355
Iteration 322, loss = 0.384626
Iteration 323, loss = 0.383527
Iteration 324, loss = 0.382711
Iteration 325, loss = 0.381443
Iteration 326, loss = 0.380731
Iteration 327, loss = 0.380356
Iteration 328, loss = 0.379383
Iteration 329, loss = 0.378832
Iteration 330, loss = 0.378018
Iteration 331, loss = 0.376880
Iteration 332, loss = 0.376417
Iteration 333, loss = 0.375527
Iteration 334, loss = 0.374835
Iteration 335, loss = 0.373800
Iteration 336, loss = 0.372983
Iteration 337, loss = 0.371859
Iteration 338, loss = 0.372016
Iteration 339, loss = 0.370728
Iteration 340, loss = 0.370318
Iteration 341, loss = 0.368645
Iteration 342, loss = 0.368741
Iteration 343, loss = 0.367990
Iteration 344, loss = 0.366081
Iteration 345, loss = 0.366607
Iteration 346, loss = 0.365009
Iteration 347, loss = 0.364606
Iteration 348, loss = 0.364333
Iteration 349, loss = 0.362691
Iteration 350, loss = 0.362054
Iteration 351, loss = 0.361889
Iteration 352, loss = 0.361484
Iteration 353, loss = 0.360032
Iteration 354, loss = 0.359291
Iteration 355, loss = 0.358888
Iteration 356, loss = 0.357677
Iteration 357, loss = 0.357250
Iteration 358, loss = 0.356177
Iteration 359, loss = 0.355313
Iteration 360, loss = 0.355576
Iteration 361, loss = 0.354612
Iteration 362, loss = 0.353892
Iteration 363, loss = 0.353116
Iteration 364, loss = 0.353095
Iteration 365, loss = 0.351850
Iteration 366, loss = 0.350871
Iteration 367, loss = 0.350253
Iteration 368, loss = 0.350151
Iteration 369, loss = 0.349153
Iteration 370, loss = 0.348632
Iteration 371, loss = 0.347004
Iteration 372, loss = 0.347014
Iteration 373, loss = 0.346096
Iteration 374, loss = 0.345983
Iteration 375, loss = 0.344909
Iteration 376, loss = 0.344379
Iteration 377, loss = 0.343008
Iteration 378, loss = 0.342822
Iteration 379, loss = 0.342522
Iteration 380, loss = 0.341834
Iteration 381, loss = 0.341536
Iteration 382, loss = 0.340579
Iteration 383, loss = 0.339171
Iteration 384, loss = 0.339187
Iteration 385, loss = 0.338556
Iteration 386, loss = 0.337543
Iteration 387, loss = 0.336949
Iteration 388, loss = 0.336289
Iteration 389, loss = 0.336709
Iteration 390, loss = 0.335143
Iteration 391, loss = 0.335008
Iteration 392, loss = 0.334105
Iteration 393, loss = 0.333777
Iteration 394, loss = 0.332985
Iteration 395, loss = 0.332555
Iteration 396, loss = 0.331173
Iteration 397, loss = 0.331519
Iteration 398, loss = 0.330646
Iteration 399, loss = 0.329730
Iteration 400, loss = 0.329007
Iteration 401, loss = 0.328976
Iteration 402, loss = 0.328051
Iteration 403, loss = 0.327233
Iteration 404, loss = 0.326763
Iteration 405, loss = 0.326009
Iteration 406, loss = 0.325228
Iteration 407, loss = 0.325119
Iteration 408, loss = 0.324516
Iteration 409, loss = 0.324169
Iteration 410, loss = 0.322996
Iteration 411, loss = 0.322305
Iteration 412, loss = 0.321988
Iteration 413, loss = 0.321665
Iteration 414, loss = 0.321263
Iteration 415, loss = 0.320726
Iteration 416, loss = 0.319219
Iteration 417, loss = 0.319113
Iteration 418, loss = 0.318707
Iteration 419, loss = 0.318296
Iteration 420, loss = 0.318238
Iteration 421, loss = 0.317074
Iteration 422, loss = 0.316780
Iteration 423, loss = 0.315926
Iteration 424, loss = 0.315599
Iteration 425, loss = 0.315071
Iteration 426, loss = 0.314599
Iteration 427, loss = 0.313809
Iteration 428, loss = 0.313388
Iteration 429, loss = 0.312922
Iteration 430, loss = 0.312216
Iteration 431, loss = 0.311979
Iteration 432, loss = 0.311216
Iteration 433, loss = 0.310803
Iteration 434, loss = 0.310285
Iteration 435, loss = 0.309616
Iteration 436, loss = 0.309186
Iteration 437, loss = 0.308571
Iteration 438, loss = 0.307777
Iteration 439, loss = 0.307858
Iteration 440, loss = 0.307534
Iteration 441, loss = 0.307203
Iteration 442, loss = 0.305641
Iteration 443, loss = 0.305581
Iteration 444, loss = 0.304955
Iteration 445, loss = 0.304800
Iteration 446, loss = 0.303693
Iteration 447, loss = 0.303701
Iteration 448, loss = 0.303442
Iteration 449, loss = 0.303339
Iteration 450, loss = 0.302199
Iteration 451, loss = 0.301890
Iteration 452, loss = 0.301214
Iteration 453, loss = 0.300751
Iteration 454, loss = 0.300184
Iteration 455, loss = 0.299521
Iteration 456, loss = 0.299356
Iteration 457, loss = 0.299044
Iteration 458, loss = 0.298478
Iteration 459, loss = 0.297475
Iteration 460, loss = 0.297548
Iteration 461, loss = 0.297214
Iteration 462, loss = 0.297011
Iteration 463, loss = 0.296408
Iteration 464, loss = 0.295828
Iteration 465, loss = 0.295491
Iteration 466, loss = 0.294316
Iteration 467, loss = 0.294489
Iteration 468, loss = 0.293393
Iteration 469, loss = 0.292692
Iteration 470, loss = 0.292352
Iteration 471, loss = 0.292615
Iteration 472, loss = 0.291658
Iteration 473, loss = 0.291505
Iteration 474, loss = 0.290121
Iteration 475, loss = 0.290229
Iteration 476, loss = 0.289972
Iteration 477, loss = 0.289511
Iteration 478, loss = 0.289300
Iteration 479, loss = 0.288526
Iteration 480, loss = 0.288708
Iteration 481, loss = 0.287242
Iteration 482, loss = 0.287689
Iteration 483, loss = 0.287117
Iteration 484, loss = 0.286145
Iteration 485, loss = 0.285963
Iteration 486, loss = 0.284932
Iteration 487, loss = 0.285230
Iteration 488, loss = 0.284972
Iteration 489, loss = 0.285055
Iteration 490, loss = 0.283767
Iteration 491, loss = 0.283101
Iteration 492, loss = 0.283414
Iteration 493, loss = 0.282887
Iteration 494, loss = 0.282261
Iteration 495, loss = 0.281759
Iteration 496, loss = 0.281019
Iteration 497, loss = 0.280663
Iteration 498, loss = 0.280788
Iteration 499, loss = 0.280231
Iteration 500, loss = 0.279904
Iteration 501, loss = 0.279041
Iteration 502, loss = 0.279490
Iteration 503, loss = 0.278662
Iteration 504, loss = 0.278641
Iteration 505, loss = 0.277475
Iteration 506, loss = 0.277667
Iteration 507, loss = 0.276860
Iteration 508, loss = 0.276193
Iteration 509, loss = 0.275778
Iteration 510, loss = 0.275054
Iteration 511, loss = 0.274937
Iteration 512, loss = 0.275049
Iteration 513, loss = 0.274760
Iteration 514, loss = 0.274350
Iteration 515, loss = 0.273346
Iteration 516, loss = 0.273694
Iteration 517, loss = 0.273021
Iteration 518, loss = 0.272626
Iteration 519, loss = 0.272932
Iteration 520, loss = 0.272235
Iteration 521, loss = 0.271236
Iteration 522, loss = 0.270852
Iteration 523, loss = 0.271049
Iteration 524, loss = 0.270608
Iteration 525, loss = 0.270047
Iteration 526, loss = 0.269455
Iteration 527, loss = 0.268810
Iteration 528, loss = 0.269090
Iteration 529, loss = 0.267910
Iteration 530, loss = 0.267721
Iteration 531, loss = 0.267684
Iteration 532, loss = 0.267486
Iteration 533, loss = 0.267393
Iteration 534, loss = 0.266456
Iteration 535, loss = 0.266172
Iteration 536, loss = 0.265788
Iteration 537, loss = 0.265122
Iteration 538, loss = 0.265159
Iteration 539, loss = 0.264183
Iteration 540, loss = 0.264669
Iteration 541, loss = 0.263579
Iteration 542, loss = 0.263620
Iteration 543, loss = 0.263612
Iteration 544, loss = 0.263442
Iteration 545, loss = 0.262396
Iteration 546, loss = 0.262231
Iteration 547, loss = 0.261859
Iteration 548, loss = 0.261226
Iteration 549, loss = 0.261090
Iteration 550, loss = 0.260572
Iteration 551, loss = 0.260190
Iteration 552, loss = 0.260157
Iteration 553, loss = 0.259526
Iteration 554, loss = 0.259358
Iteration 555, loss = 0.258538
Iteration 556, loss = 0.259325
Iteration 557, loss = 0.257717
Iteration 558, loss = 0.258675
Iteration 559, loss = 0.257181
Iteration 560, loss = 0.257694
Iteration 561, loss = 0.256233
Iteration 562, loss = 0.256863
Iteration 563, loss = 0.256033
Iteration 564, loss = 0.255962
Iteration 565, loss = 0.255493
Iteration 566, loss = 0.254709
Iteration 567, loss = 0.254732
Iteration 568, loss = 0.254825
Iteration 569, loss = 0.254623
Iteration 570, loss = 0.253994
Iteration 571, loss = 0.253320
Iteration 572, loss = 0.253368
Iteration 573, loss = 0.253529
Iteration 574, loss = 0.252342
Iteration 575, loss = 0.251587
Iteration 576, loss = 0.252146
Iteration 577, loss = 0.250920
Iteration 578, loss = 0.251414
Iteration 579, loss = 0.251153
Iteration 580, loss = 0.250444
Iteration 581, loss = 0.250370
Iteration 582, loss = 0.249579
Iteration 583, loss = 0.249912
Iteration 584, loss = 0.248692
Iteration 585, loss = 0.249185
Iteration 586, loss = 0.248495
Iteration 587, loss = 0.248845
Iteration 588, loss = 0.248622
Iteration 589, loss = 0.247769
Iteration 590, loss = 0.247347
Iteration 591, loss = 0.247113
Iteration 592, loss = 0.246666
Iteration 593, loss = 0.246009
Iteration 594, loss = 0.246229
Iteration 595, loss = 0.246196
Iteration 596, loss = 0.245307
Iteration 597, loss = 0.244839
Iteration 598, loss = 0.244623
Iteration 599, loss = 0.244882
Iteration 600, loss = 0.244046
Iteration 601, loss = 0.244406
Iteration 602, loss = 0.243048
Iteration 603, loss = 0.243297
Iteration 604, loss = 0.243508
Iteration 605, loss = 0.242187
Iteration 606, loss = 0.242976
Iteration 607, loss = 0.242318
Iteration 608, loss = 0.241788
Iteration 609, loss = 0.241400
Iteration 610, loss = 0.240946
Iteration 611, loss = 0.240865
Iteration 612, loss = 0.240234
Iteration 613, loss = 0.239902
Iteration 614, loss = 0.240162
Iteration 615, loss = 0.239896
Iteration 616, loss = 0.239663
Iteration 617, loss = 0.238852
Iteration 618, loss = 0.238687
Iteration 619, loss = 0.237778
Iteration 620, loss = 0.238206
Iteration 621, loss = 0.238418
Iteration 622, loss = 0.236841
Iteration 623, loss = 0.236986
Iteration 624, loss = 0.236933
Iteration 625, loss = 0.236289
Iteration 626, loss = 0.236084
Iteration 627, loss = 0.236828
Iteration 628, loss = 0.236501
Iteration 629, loss = 0.235606
Iteration 630, loss = 0.235228
Iteration 631, loss = 0.234870
Iteration 632, loss = 0.234890
Iteration 633, loss = 0.234171
Iteration 634, loss = 0.234606
Iteration 635, loss = 0.233187
Iteration 636, loss = 0.233316
Iteration 637, loss = 0.233189
Iteration 638, loss = 0.232932
Iteration 639, loss = 0.232657
Iteration 640, loss = 0.232320
Iteration 641, loss = 0.231599
Iteration 642, loss = 0.231821
Iteration 643, loss = 0.232408
Iteration 644, loss = 0.231295
Iteration 645, loss = 0.231197
Iteration 646, loss = 0.230989
Iteration 647, loss = 0.230620
Iteration 648, loss = 0.230242
Iteration 649, loss = 0.229614
Iteration 650, loss = 0.229985
Iteration 651, loss = 0.229652
Iteration 652, loss = 0.228930
Iteration 653, loss = 0.228684
Iteration 654, loss = 0.228855
Iteration 655, loss = 0.228824
Iteration 656, loss = 0.228743
Iteration 657, loss = 0.228325
Iteration 658, loss = 0.227705
Iteration 659, loss = 0.227409
Iteration 660, loss = 0.227022
Iteration 661, loss = 0.227156
Iteration 662, loss = 0.226136
Iteration 663, loss = 0.226860
Iteration 664, loss = 0.225948
Iteration 665, loss = 0.226129
Iteration 666, loss = 0.225869
Iteration 667, loss = 0.225634
Iteration 668, loss = 0.225053
Iteration 669, loss = 0.225057
Iteration 670, loss = 0.224202
Iteration 671, loss = 0.225166
Iteration 672, loss = 0.224386
Iteration 673, loss = 0.223592
Iteration 674, loss = 0.223251
Iteration 675, loss = 0.222812
Iteration 676, loss = 0.223458
Iteration 677, loss = 0.223213
Iteration 678, loss = 0.222449
Iteration 679, loss = 0.223137
Iteration 680, loss = 0.222263
Iteration 681, loss = 0.221685
Iteration 682, loss = 0.220985
Iteration 683, loss = 0.221473
Iteration 684, loss = 0.220165
Iteration 685, loss = 0.220988
Iteration 686, loss = 0.220634
Iteration 687, loss = 0.220539
Iteration 688, loss = 0.220763
Iteration 689, loss = 0.219932
Iteration 690, loss = 0.219913
Iteration 691, loss = 0.219350
Iteration 692, loss = 0.218955
Iteration 693, loss = 0.218584
Iteration 694, loss = 0.218675
Iteration 695, loss = 0.218241
Iteration 696, loss = 0.218927
Iteration 697, loss = 0.218267
Iteration 698, loss = 0.217903
Iteration 699, loss = 0.217617
Iteration 700, loss = 0.216771
Iteration 701, loss = 0.217156
Iteration 702, loss = 0.216528
Iteration 703, loss = 0.216219
Iteration 704, loss = 0.216277
Iteration 705, loss = 0.216008
Iteration 706, loss = 0.215451
Iteration 707, loss = 0.216262
Iteration 708, loss = 0.215340
Iteration 709, loss = 0.215538
Iteration 710, loss = 0.214790
Iteration 711, loss = 0.214918
Iteration 712, loss = 0.215026
Iteration 713, loss = 0.214110
Iteration 714, loss = 0.213975
Iteration 715, loss = 0.214045
Iteration 716, loss = 0.213650
Iteration 717, loss = 0.213250
Iteration 718, loss = 0.213041
Iteration 719, loss = 0.213510
Iteration 720, loss = 0.212409
Iteration 721, loss = 0.212517
Iteration 722, loss = 0.212198
Iteration 723, loss = 0.211898
Iteration 724, loss = 0.212028
Iteration 725, loss = 0.211476
Iteration 726, loss = 0.211073
Iteration 727, loss = 0.211308
Iteration 728, loss = 0.210998
Iteration 729, loss = 0.210769
Iteration 730, loss = 0.210093
Iteration 731, loss = 0.209929
Iteration 732, loss = 0.210098
Iteration 733, loss = 0.210099
Iteration 734, loss = 0.209713
Iteration 735, loss = 0.210299
Iteration 736, loss = 0.209296
Iteration 737, loss = 0.209234
Iteration 738, loss = 0.208984
Iteration 739, loss = 0.208276
Iteration 740, loss = 0.208483
Iteration 741, loss = 0.208169
Iteration 742, loss = 0.207291
Iteration 743, loss = 0.207660
Iteration 744, loss = 0.207252
Iteration 745, loss = 0.207843
Iteration 746, loss = 0.207094
Iteration 747, loss = 0.206734
Iteration 748, loss = 0.206203
Iteration 749, loss = 0.206071
Iteration 750, loss = 0.206760
Iteration 751, loss = 0.206746
Iteration 752, loss = 0.205587
Iteration 753, loss = 0.205698
Iteration 754, loss = 0.205215
Iteration 755, loss = 0.205367
Iteration 756, loss = 0.204915
Iteration 757, loss = 0.204217
Iteration 758, loss = 0.204263
Iteration 759, loss = 0.204270
Iteration 760, loss = 0.204438
Iteration 761, loss = 0.204309
Iteration 762, loss = 0.203853
Iteration 763, loss = 0.203942
Iteration 764, loss = 0.203340
Iteration 765, loss = 0.203068
Iteration 766, loss = 0.203176
Iteration 767, loss = 0.202922
Iteration 768, loss = 0.202486
Iteration 769, loss = 0.201959
Iteration 770, loss = 0.202107
Iteration 771, loss = 0.202463
Iteration 772, loss = 0.202029
Iteration 773, loss = 0.201972
Iteration 774, loss = 0.201190
Iteration 775, loss = 0.201277
Iteration 776, loss = 0.201237
Iteration 777, loss = 0.200832
Iteration 778, loss = 0.200578
Iteration 779, loss = 0.200384
Iteration 780, loss = 0.200083
Iteration 781, loss = 0.200242
Iteration 782, loss = 0.200125
Iteration 783, loss = 0.199507
Iteration 784, loss = 0.198629
Iteration 785, loss = 0.199339
Iteration 786, loss = 0.199635
Iteration 787, loss = 0.198946
Iteration 788, loss = 0.198748
Iteration 789, loss = 0.198483
Iteration 790, loss = 0.198497
Iteration 791, loss = 0.198150
Iteration 792, loss = 0.197904
Iteration 793, loss = 0.198113
Iteration 794, loss = 0.196936
Iteration 795, loss = 0.197385
Iteration 796, loss = 0.196281
Iteration 797, loss = 0.197411
Iteration 798, loss = 0.196787
Iteration 799, loss = 0.196567
Iteration 800, loss = 0.196211
Iteration 801, loss = 0.196287
Iteration 802, loss = 0.195989
Iteration 803, loss = 0.195943
Iteration 804, loss = 0.195703
Iteration 805, loss = 0.195051
Iteration 806, loss = 0.195412
Iteration 807, loss = 0.195439
Iteration 808, loss = 0.194718
Iteration 809, loss = 0.194841
Iteration 810, loss = 0.195140
Iteration 811, loss = 0.194009
Iteration 812, loss = 0.194391
Iteration 813, loss = 0.194013
Iteration 814, loss = 0.193904
Iteration 815, loss = 0.193361
Iteration 816, loss = 0.193946
Iteration 817, loss = 0.193205
Iteration 818, loss = 0.193079
Iteration 819, loss = 0.192826
Iteration 820, loss = 0.192771
Iteration 821, loss = 0.192911
Iteration 822, loss = 0.192233
Iteration 823, loss = 0.192576
Iteration 824, loss = 0.192655
Iteration 825, loss = 0.192257
Iteration 826, loss = 0.191469
Iteration 827, loss = 0.191899
Iteration 828, loss = 0.191192
Iteration 829, loss = 0.190842
Iteration 830, loss = 0.191419
Iteration 831, loss = 0.190799
Iteration 832, loss = 0.190304
Iteration 833, loss = 0.190396
Iteration 834, loss = 0.190806
Iteration 835, loss = 0.190323
Iteration 836, loss = 0.189599
Iteration 837, loss = 0.189967
Iteration 838, loss = 0.189634
Iteration 839, loss = 0.189729
Iteration 840, loss = 0.189490
Iteration 841, loss = 0.189284
Iteration 842, loss = 0.188761
Iteration 843, loss = 0.188938
Iteration 844, loss = 0.188535
Iteration 845, loss = 0.188346
Iteration 846, loss = 0.187701
Iteration 847, loss = 0.188403
Iteration 848, loss = 0.188071
Iteration 849, loss = 0.187789
Iteration 850, loss = 0.186997
Iteration 851, loss = 0.187250
Iteration 852, loss = 0.187449
Iteration 853, loss = 0.186546
Iteration 854, loss = 0.187556
Iteration 855, loss = 0.186138
Iteration 856, loss = 0.186660
Iteration 857, loss = 0.186569
Iteration 858, loss = 0.186681
Iteration 859, loss = 0.186343
Iteration 860, loss = 0.186097
Iteration 861, loss = 0.185725
Iteration 862, loss = 0.186088
Iteration 863, loss = 0.185044
Iteration 864, loss = 0.185423
Iteration 865, loss = 0.184775
Iteration 866, loss = 0.184626
Iteration 867, loss = 0.184574
Iteration 868, loss = 0.185683
Iteration 869, loss = 0.184703
Iteration 870, loss = 0.184724
Iteration 871, loss = 0.184005
Iteration 872, loss = 0.184638
Iteration 873, loss = 0.183814
Iteration 874, loss = 0.183731
